2026-06-22 09:15:57.599 [info] Starting Excalidraw MCP server...
2026-06-22 09:15:57.600 [info] Starting Excalidraw MCP server...
2026-06-22 09:15:57.611 [debug] Connecting to transport...
2026-06-22 09:15:57.613 [info] Excalidraw MCP server running on stdio
2026-06-22 09:15:57.611 [debug] Connecting to transport...
2026-06-22 09:15:57.611 [info] Excalidraw MCP server running on stdio
2026-06-22 09:15:57.653 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.654 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.655 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.656 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.657 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.658 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.659 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.660 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.660 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.661 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.661 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.662 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.662 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.663 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.663 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.663 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.664 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.664 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.664 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.665 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.665 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.665 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.666 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.666 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.667 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.667 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.667 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.668 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.668 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.668 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.669 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.669 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.669 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.670 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.671 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.671 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.671 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.672 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.672 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.672 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.673 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.673 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.673 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.673 [error] Uncaught exception: EPIPE: broken pipe, write
